record_id,player_id,team_name,player_role,map_played,match_type,kills,assists,deaths,accuracy_percent,reaction_time_ms,fatigue_index,performance_score,win_probability,match_outcome,mvp_award,kda_ratio,kill_death_diff,is_mvp
55,210,cyberx,igl,neon city,playoff,12.0,5.0,10.0,53.25,175.43,0.89,36.73,0.73,win,no,1.7,2.0,0
56,374,cyberx,entry fragger,neon city,playoff,13.0,10.0,8.0,49.68,189.88,0.04,52.44,0.95,win,no,2.875,5.0,0
57,120,titan esports,entry fragger,skyline,final,14.0,10.0,16.0,47.31,293.66,0.23,43.36,0.88,win,no,1.5,-2.0,0
58,469,team nova,igl,desert storm,playoff,11.0,10.0,13.0,40.21,226.09,0.59,33.21,0.68,win,no,1.6153846153846154,-2.0,0
59,20,red vortex,igl,skyline,final,16.0,10.0,9.0,44.73,273.84,0.08,54.56,1.0,win,no,2.888888888888889,7.0,0
60,188,team alpha,flex,skyline,final,15.0,17.0,6.0,36.51,199.31,0.82,51.05,1.0,win,no,5.333333333333333,9.0,0
61,65,red vortex,support,skyline,final,19.0,5.0,11.0,42.54,226.57,0.76,45.67,1.0,win,no,2.1818181818181817,8.0,0
62,154,titan esports,igl,dust arena,group stage,13.0,7.0,11.0,45.38,205.6,0.87,35.99,0.87,win,no,1.8181818181818181,2.0,0
63,186,titan esports,support,desert storm,playoff,18.0,3.0,10.0,40.56,276.43,0.27,46.58,0.84,win,no,2.1,8.0,0
64,254,red vortex,igl,frozen base,playoff,11.0,10.0,15.0,43.58,182.45,0.86,30.19,0.95,win,no,1.4,-4.0,0
65,468,team nova,flex,dust arena,group stage,11.0,10.0,5.0,39.59,274.03,0.2,44.8,0.87,win,no,4.2,6.0,0
66,86,team alpha,flex,desert storm,qualifier,16.0,4.0,9.0,44.89,172.48,0.69,42.55,1.0,win,no,2.2222222222222223,7.0,0
67,347,team alpha,sniper,skyline,semi-final,9.0,6.0,8.0,43.02,199.54,0.03,37.21,0.85,win,no,1.875,1.0,0
68,87,red vortex,support,desert storm,final,10.0,7.0,16.0,39.14,274.36,0.87,21.87,0.75,win,no,1.0625,-6.0,0
69,20,team alpha,flex,neon city,final,13.0,8.0,4.0,36.75,204.12,0.79,40.48,0.9,win,no,5.25,9.0,0
70,97,team alpha,sniper,frozen base,final,16.0,7.0,7.0,62.14,231.98,0.74,55.67,1.0,win,no,3.2857142857142856,9.0,0
71,409,red vortex,igl,dust arena,qualifier,14.0,11.0,7.0,56.01,243.31,0.13,58.7,1.0,win,no,3.5714285714285716,7.0,0
72,282,red vortex,support,skyline,group stage,11.0,10.0,7.0,47.09,253.23,0.13,47.25,0.9,win,no,3.0,4.0,0
73,491,team alpha,entry fragger,frozen base,group stage,26.0,6.0,7.0,38.29,235.62,0.17,68.44,1.0,win,yes,4.571428571428571,19.0,1
74,368,team nova,entry fragger,skyline,final,16.0,4.0,16.0,61.61,216.07,0.93,41.5,0.81,win,no,1.25,0.0,0
75,354,red vortex,flex,skyline,final,13.0,4.0,17.0,43.93,252.58,0.52,29.77,1.0,win,no,1.0,-4.0,0
76,395,cyberx,support,frozen base,playoff,10.0,9.0,10.0,43.88,226.03,0.03,40.64,1.0,win,no,1.9,0.0,0
77,12,cyberx,sniper,frozen base,qualifier,22.0,8.0,11.0,43.05,248.92,0.33,59.23,1.0,win,no,2.727272727272727,11.0,0
78,26,team alpha,igl,neon city,group stage,14.0,3.0,9.0,49.56,193.45,0.45,42.28,1.0,win,no,1.8888888888888888,5.0,0
79,137,team nova,flex,frozen base,final,12.0,8.0,10.0,35.75,174.02,0.4,35.88,0.96,win,no,2.0,2.0,0
80,352,team nova,support,dust arena,playoff,16.0,5.0,8.0,64.52,169.21,0.28,58.46,1.0,win,no,2.625,8.0,0
81,426,team alpha,igl,frozen base,group stage,13.0,7.0,12.0,59.77,226.67,0.11,49.79,0.84,win,no,1.6666666666666667,1.0,0
82,210,phantom squad,entry fragger,dust arena,final,25.0,9.0,11.0,48.52,182.68,0.78,64.46,1.0,win,yes,3.090909090909091,14.0,1
83,467,team nova,flex,neon city,semi-final,12.0,9.0,5.0,54.8,268.7,0.55,49.9,0.94,win,no,4.2,7.0,0
84,63,team alpha,entry fragger,frozen base,semi-final,16.0,9.0,12.0,34.04,208.63,0.09,45.12,0.93,win,no,2.0833333333333335,4.0,0
85,481,cyberx,igl,neon city,group stage,21.0,5.0,13.0,53.25,223.26,0.65,54.12,0.84,win,no,2.0,8.0,0
86,271,titan esports,igl,skyline,playoff,13.0,10.0,10.0,47.99,267.5,0.35,46.5,0.93,win,no,2.3,3.0,0
87,363,team alpha,support,neon city,semi-final,17.0,10.0,13.0,49.03,237.47,0.71,48.41,0.91,win,no,2.076923076923077,4.0,0
88,180,phantom squad,support,skyline,group stage,9.0,12.0,13.0,34.35,237.05,0.3,31.17,0.87,win,no,1.6153846153846154,-4.0,0
89,417,red vortex,entry fragger,dust arena,group stage,8.0,12.0,10.0,42.03,190.23,0.07,38.31,0.89,win,no,2.0,-2.0,0
90,403,team alpha,sniper,frozen base,qualifier,13.0,7.0,13.0,49.24,224.46,0.98,34.82,0.81,win,no,1.5384615384615385,0.0,0
91,56,cyberx,sniper,frozen base,final,12.0,4.0,13.0,52.6,175.45,0.53,36.0,0.76,win,no,1.2307692307692308,-1.0,0
92,248,team alpha,entry fragger,desert storm,final,20.0,6.0,9.0,43.33,203.61,0.54,53.27,1.0,win,no,2.888888888888889,11.0,0
93,70,team alpha,sniper,frozen base,playoff,11.0,9.0,10.0,54.35,194.11,0.48,43.38,0.8,win,no,2.0,1.0,0
94,75,team nova,flex,dust arena,semi-final,14.0,10.0,11.0,32.09,228.3,0.61,36.95,0.95,win,no,2.1818181818181817,3.0,0
95,426,team nova,entry fragger,desert storm,final,8.0,5.0,12.0,34.22,190.85,0.35,22.61,0.79,win,no,1.0833333333333333,-4.0,0
96,105,red vortex,support,desert storm,semi-final,11.0,4.0,8.0,54.26,177.35,0.21,43.03,1.0,win,no,1.875,3.0,0
97,35,red vortex,entry fragger,frozen base,qualifier,10.0,13.0,7.0,31.1,161.56,0.61,35.45,0.83,win,no,3.2857142857142856,3.0,0
98,282,team alpha,sniper,neon city,group stage,12.0,14.0,6.0,42.79,244.38,0.21,51.29,1.0,win,no,4.333333333333333,6.0,0
99,220,titan esports,support,dust arena,semi-final,15.0,12.0,7.0,55.3,207.32,0.2,60.65,1.0,win,yes,3.857142857142857,8.0,1
100,122,team nova,sniper,neon city,qualifier,16.0,5.0,12.0,48.16,216.37,0.33,45.78,1.0,win,no,1.75,4.0,0
101,169,titan esports,flex,skyline,playoff,10.0,10.0,11.0,40.59,296.75,0.64,32.9,0.84,win,no,1.8181818181818181,-1.0,0
102,79,team alpha,igl,skyline,qualifier,16.0,7.0,8.0,39.5,248.43,0.52,45.55,1.0,win,no,2.875,8.0,0
103,26,phantom squad,sniper,skyline,group stage,14.0,9.0,11.0,43.19,191.22,0.84,39.2,1.0,win,no,2.090909090909091,3.0,0
104,497,cyberx,entry fragger,frozen base,qualifier,16.0,3.0,14.0,29.5,163.12,0.94,26.35,0.78,win,no,1.3571428571428572,2.0,0
105,97,titan esports,entry fragger,skyline,semi-final,12.0,7.0,12.0,58.29,206.29,0.77,40.44,0.94,win,no,1.5833333333333333,0.0,0
106,359,titan esports,support,skyline,semi-final,10.0,5.0,7.0,36.22,210.89,0.78,28.31,0.94,win,no,2.142857142857143,3.0,0
107,480,team nova,sniper,frozen base,semi-final,8.0,3.0,10.0,50.89,211.56,0.02,34.24,0.87,win,no,1.1,-2.0,0
108,262,team nova,entry fragger,skyline,final,7.0,11.0,6.0,45.7,238.99,0.56,36.25,0.82,win,no,3.0,1.0,0
109,347,red vortex,sniper,skyline,semi-final,15.0,7.0,10.0,49.95,281.72,0.06,51.38,1.0,win,no,2.2,5.0,0
110,237,team alpha,flex,frozen base,semi-final,14.0,7.0,14.0,45.46,229.52,0.77,36.03,0.86,win,no,1.5,0.0,0
111,53,titan esports,sniper,desert storm,semi-final,15.0,10.0,13.0,54.51,236.1,0.4,50.25,1.0,win,no,1.9230769230769231,2.0,0
112,285,team nova,igl,skyline,final,10.0,8.0,6.0,51.82,197.93,0.88,39.11,0.91,win,no,3.0,4.0,0
113,228,phantom squad,entry fragger,frozen base,final,19.0,9.0,11.0,49.64,229.77,0.08,60.02,1.0,win,yes,2.5454545454545454,8.0,1
114,49,phantom squad,support,desert storm,playoff,15.0,10.0,5.0,49.77,208.25,0.45,55.39,0.96,win,no,5.0,10.0,0
115,297,titan esports,entry fragger,dust arena,semi-final,18.0,10.0,8.0,46.01,278.17,0.31,57.9,1.0,win,no,3.5,10.0,0
116,100,team nova,support,neon city,final,18.0,10.0,21.0,34.47,203.94,0.74,34.84,0.84,win,no,1.3333333333333333,-3.0,0
117,81,red vortex,igl,desert storm,playoff,22.0,10.0,14.0,47.94,275.15,0.1,62.97,0.94,win,yes,2.2857142857142856,8.0,1
118,194,cyberx,entry fragger,desert storm,semi-final,16.0,9.0,7.0,42.63,222.49,1.0,45.31,0.91,win,no,3.5714285714285716,9.0,0
119,301,team nova,igl,neon city,group stage,20.0,5.0,14.0,23.37,240.34,0.32,39.48,1.0,win,no,1.7857142857142858,6.0,0
120,335,red vortex,sniper,dust arena,playoff,16.0,9.0,11.0,42.18,288.73,0.07,50.39,1.0,win,no,2.272727272727273,5.0,0
121,478,team nova,flex,dust arena,group stage,12.0,5.0,10.0,32.96,242.8,0.21,33.38,0.81,win,no,1.7,2.0,0
122,104,cyberx,support,dust arena,group stage,5.0,9.0,8.0,45.05,219.44,0.7,26.52,0.87,win,no,1.75,-3.0,0
123,370,red vortex,flex,desert storm,qualifier,12.0,9.0,11.0,57.9,246.91,0.11,49.85,0.92,win,no,1.9090909090909092,1.0,0
124,131,phantom squad,support,neon city,group stage,13.0,7.0,9.0,27.33,226.2,0.87,28.96,0.87,win,no,2.2222222222222223,4.0,0
125,188,titan esports,sniper,skyline,semi-final,18.0,4.0,9.0,66.42,205.43,0.04,63.81,1.0,win,yes,2.4444444444444446,9.0,1
126,363,team nova,igl,frozen base,qualifier,13.0,14.0,11.0,36.78,267.57,0.69,40.49,0.98,win,no,2.4545454545454546,2.0,0
127,285,team alpha,entry fragger,desert storm,final,13.0,5.0,11.0,40.5,213.72,0.41,36.15,0.97,win,no,1.6363636363636365,2.0,0
128,354,cyberx,flex,skyline,qualifier,16.0,6.0,9.0,35.53,217.35,0.16,45.16,0.91,win,no,2.4444444444444446,7.0,0
129,406,team nova,support,neon city,final,14.0,12.0,10.0,58.86,286.94,0.76,51.83,1.0,win,no,2.6,4.0,0
130,473,phantom squad,entry fragger,desert storm,playoff,13.0,6.0,11.0,54.82,282.22,0.49,43.51,0.84,win,no,1.7272727272727273,2.0,0
131,477,cyberx,entry fragger,desert storm,playoff,20.0,6.0,15.0,53.69,222.94,0.13,56.55,1.0,win,no,1.7333333333333334,5.0,0
132,248,red vortex,entry fragger,frozen base,playoff,19.0,10.0,13.0,47.24,155.93,0.58,52.82,1.0,win,no,2.230769230769231,6.0,0
133,254,titan esports,flex,skyline,playoff,14.0,9.0,14.0,63.67,225.77,0.93,45.53,0.95,win,no,1.6428571428571428,0.0,0
134,436,phantom squad,entry fragger,dust arena,qualifier,17.0,8.0,13.0,41.89,235.45,0.14,48.55,1.0,win,no,1.9230769230769231,4.0,0
135,384,team alpha,entry fragger,frozen base,group stage,18.0,8.0,4.0,45.85,215.96,0.95,53.42,0.84,win,no,6.5,14.0,0
136,112,titan esports,igl,desert storm,qualifier,8.0,5.0,7.0,46.71,244.88,0.32,34.16,0.82,win,no,1.8571428571428572,1.0,0
137,232,phantom squad,support,frozen base,qualifier,15.0,11.0,12.0,51.75,236.78,0.8,46.88,1.0,win,no,2.1666666666666665,3.0,0
138,208,cyberx,entry fragger,skyline,playoff,10.0,5.0,12.0,67.08,220.01,0.05,46.04,0.96,win,no,1.25,-2.0,0
139,456,team alpha,flex,desert storm,playoff,12.0,2.0,7.0,39.74,210.89,0.36,35.27,0.93,win,no,2.0,5.0,0
140,434,titan esports,support,neon city,playoff,13.0,11.0,12.0,41.09,226.1,0.64,39.15,0.86,win,no,2.0,1.0,0
141,60,team alpha,support,skyline,qualifier,6.0,7.0,13.0,47.61,229.01,0.21,27.7,0.74,win,no,1.0,-7.0,0
142,94,team alpha,flex,neon city,qualifier,20.0,10.0,15.0,61.83,203.68,0.11,64.81,1.0,win,yes,2.0,5.0,1
143,87,team nova,flex,skyline,group stage,15.0,4.0,6.0,24.5,214.27,0.53,34.95,0.84,win,no,3.1666666666666665,9.0,0
144,422,team nova,support,frozen base,final,15.0,6.0,6.0,45.12,223.06,0.35,49.06,1.0,win,no,3.5,9.0,0
145,434,titan esports,entry fragger,neon city,playoff,13.0,10.0,4.0,44.17,170.7,0.75,46.59,0.9,win,no,5.75,9.0,0
146,412,team nova,sniper,frozen base,semi-final,8.0,6.0,13.0,44.67,267.42,0.26,28.73,0.69,win,no,1.0769230769230769,-5.0,0
147,379,red vortex,flex,desert storm,group stage,13.0,6.0,11.0,32.14,225.54,0.5,32.07,0.77,win,no,1.7272727272727273,2.0,0
148,190,team alpha,sniper,skyline,playoff,12.0,6.0,14.0,46.8,172.06,0.44,35.0,0.9,win,no,1.2857142857142858,-2.0,0
149,244,cyberx,entry fragger,dust arena,qualifier,16.0,14.0,12.0,56.87,230.67,0.5,57.44,1.0,win,no,2.5,4.0,0
150,79,team alpha,support,desert storm,final,12.0,6.0,10.0,43.34,209.25,0.4,37.67,0.81,win,no,1.8,2.0,0
151,83,cyberx,igl,neon city,group stage,13.0,11.0,15.0,32.79,220.98,0.04,37.99,0.84,win,no,1.6,-2.0,0
152,354,cyberx,entry fragger,dust arena,final,24.0,13.0,11.0,50.49,246.61,0.21,73.15,1.0,win,yes,3.3636363636363638,13.0,1
153,385,team alpha,igl,skyline,playoff,8.0,12.0,9.0,47.78,205.38,0.0,42.89,1.0,win,no,2.2222222222222223,-1.0,0
154,337,team nova,entry fragger,desert storm,playoff,11.0,2.0,7.0,24.53,239.99,0.42,25.07,0.8,win,no,1.8571428571428572,4.0,0
155,38,phantom squad,sniper,dust arena,playoff,13.0,11.0,10.0,48.84,202.92,0.58,45.62,1.0,win,no,2.4,3.0,0
156,278,red vortex,igl,dust arena,qualifier,12.0,14.0,13.0,32.98,181.03,0.98,31.69,0.69,win,no,2.0,-1.0,0
157,297,team nova,igl,frozen base,group stage,18.0,7.0,14.0,32.86,209.29,0.7,38.43,0.9,win,no,1.7857142857142858,4.0,0
158,492,red vortex,igl,neon city,final,26.0,9.0,8.0,55.56,231.3,0.8,72.78,1.0,win,yes,4.375,18.0,1
159,329,titan esports,support,frozen base,group stage,12.0,5.0,10.0,36.77,179.42,0.62,31.19,0.93,win,no,1.7,2.0,0
160,472,team alpha,flex,skyline,qualifier,14.0,8.0,12.0,38.05,209.21,0.75,35.52,0.72,win,no,1.8333333333333333,2.0,0
161,297,team alpha,support,frozen base,qualifier,9.0,7.0,9.0,39.86,271.05,0.35,32.43,0.67,win,no,1.7777777777777777,0.0,0
162,321,red vortex,sniper,dust arena,final,11.0,6.0,17.0,39.8,225.92,0.62,24.7,0.67,win,no,1.0,-6.0,0
163,222,titan esports,flex,dust arena,final,17.0,6.0,8.0,43.28,228.3,0.59,47.74,1.0,win,no,2.875,9.0,0
164,298,red vortex,sniper,skyline,group stage,14.0,9.0,5.0,54.36,216.06,0.26,56.58,1.0,win,no,4.6,9.0,0
165,345,team nova,support,desert storm,semi-final,14.0,6.0,7.0,38.73,199.28,0.27,43.66,1.0,win,no,2.857142857142857,7.0,0
166,95,titan esports,entry fragger,neon city,qualifier,16.0,12.0,9.0,42.59,252.19,0.27,53.59,1.0,win,no,3.111111111111111,7.0,0
167,117,phantom squad,flex,frozen base,final,13.0,10.0,13.0,41.9,218.64,0.3,40.95,0.84,win,no,1.7692307692307692,0.0,0
168,327,cyberx,entry fragger,dust arena,group stage,15.0,6.0,4.0,45.03,243.71,0.81,46.41,1.0,win,no,5.25,11.0,0
169,116,team alpha,support,frozen base,playoff,17.0,9.0,8.0,50.66,220.27,0.88,51.53,0.99,win,no,3.25,9.0,0
170,192,phantom squad,igl,skyline,semi-final,16.0,10.0,12.0,38.19,223.36,0.16,47.49,1.0,win,no,2.1666666666666665,4.0,0
171,287,team alpha,igl,skyline,group stage,8.0,5.0,10.0,33.98,203.06,0.22,25.79,0.77,win,no,1.3,-2.0,0
172,168,titan esports,sniper,frozen base,group stage,16.0,10.0,11.0,48.56,193.14,0.69,48.38,0.94,win,no,2.3636363636363638,5.0,0
173,388,team nova,flex,dust arena,semi-final,11.0,6.0,10.0,56.71,249.91,0.25,43.86,1.0,win,no,1.7,1.0,0
174,105,phantom squad,flex,frozen base,group stage,15.0,10.0,9.0,46.06,201.8,0.38,50.23,1.0,win,no,2.7777777777777777,6.0,0
175,62,team alpha,flex,neon city,group stage,19.0,7.0,10.0,55.32,249.04,0.01,62.56,1.0,win,yes,2.6,9.0,1
176,472,titan esports,igl,dust arena,qualifier,15.0,11.0,11.0,35.9,206.71,0.89,39.05,0.84,win,no,2.3636363636363638,4.0,0
177,347,team nova,flex,frozen base,semi-final,18.0,9.0,7.0,51.81,215.3,0.51,58.8,1.0,win,no,3.857142857142857,11.0,0
178,394,cyberx,sniper,dust arena,playoff,19.0,9.0,7.0,57.15,245.45,0.81,60.48,0.98,win,yes,4.0,12.0,1
179,240,cyberx,sniper,neon city,final,18.0,5.0,7.0,42.34,234.75,0.56,49.57,1.0,win,no,3.2857142857142856,11.0,0
180,347,red vortex,sniper,skyline,playoff,13.0,9.0,12.0,42.89,189.5,0.02,44.24,0.92,win,no,1.8333333333333333,1.0,0
181,451,red vortex,entry fragger,dust arena,final,13.0,5.0,11.0,53.57,280.6,0.62,40.58,0.93,win,no,1.6363636363636365,2.0,0
182,56,phantom squad,entry fragger,frozen base,final,18.0,14.0,12.0,53.36,236.75,0.17,62.98,1.0,win,yes,2.6666666666666665,6.0,1
183,109,titan esports,sniper,neon city,semi-final,15.0,9.0,14.0,57.43,245.62,0.84,45.32,0.86,win,no,1.7142857142857142,1.0,0
184,267,titan esports,sniper,neon city,group stage,14.0,7.0,9.0,69.5,247.95,0.88,51.95,1.0,win,no,2.3333333333333335,5.0,0
185,230,cyberx,flex,desert storm,playoff,17.0,11.0,14.0,40.87,214.11,0.98,41.64,0.95,win,no,2.0,3.0,0
186,357,team alpha,sniper,frozen base,group stage,23.0,5.0,5.0,47.47,168.93,0.8,61.73,1.0,win,yes,5.6,18.0,1
187,354,phantom squad,sniper,desert storm,playoff,13.0,5.0,7.0,41.7,192.2,0.86,36.25,0.67,win,no,2.5714285714285716,6.0,0
188,276,team nova,igl,dust arena,group stage,16.0,7.0,10.0,43.8,184.42,0.73,43.6,0.7,win,no,2.3,6.0,0
189,38,cyberx,support,frozen base,final,16.0,14.0,14.0,40.79,161.07,0.76,44.79,0.92,win,no,2.142857142857143,2.0,0
190,81,phantom squad,flex,neon city,semi-final,24.0,9.0,7.0,42.6,201.76,0.83,63.0,1.0,win,yes,4.714285714285714,17.0,1
191,53,team alpha,sniper,frozen base,playoff,10.0,8.0,7.0,49.28,256.87,0.75,38.14,0.87,win,no,2.5714285714285716,3.0,0
192,19,red vortex,igl,neon city,qualifier,13.0,5.0,15.0,35.53,267.73,0.15,32.27,0.8,win,no,1.2,-2.0,0
193,455,titan esports,support,skyline,final,15.0,7.0,8.0,51.15,226.46,0.51,49.48,0.93,win,no,2.75,7.0,0
194,181,red vortex,entry fragger,neon city,final,14.0,4.0,12.0,45.01,174.48,0.17,40.8,0.98,win,no,1.5,2.0,0
195,401,red vortex,support,dust arena,playoff,14.0,9.0,10.0,39.38,183.86,0.03,46.39,0.97,win,no,2.3,4.0,0
196,413,phantom squad,entry fragger,desert storm,playoff,22.0,10.0,12.0,47.02,187.35,0.08,64.71,1.0,win,yes,2.6666666666666665,10.0,1
197,32,cyberx,flex,neon city,semi-final,14.0,7.0,6.0,45.68,130.27,0.25,49.34,1.0,win,no,3.5,8.0,0
